,Make,Model,Variant,PriceInLakhs,Displacement,Cylinders,ValvesPerCylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,EngineLocation,Fuel_System,FuelTankCapacity,FuelType,Height,Length,Width,BodyType,Doors,City_Mileage,Highway_Mileage,ARAICertifiedMileage,ARAI_Certified_Mileage_for_CNG,KerbWeight,Gears,GroundClearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,SeatingCapacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,GrossVehicleWeight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,vigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range,UnitsSoldPerThousand,ProfitPercent
210,Toyota,Etios Cross,1.2 X Edition,4.76,1197 cc,4,4,FWD,In-line,BS IV,"Front, Transverse",Injection,45 litres,Petrol,1555 mm,3895 mm,1735 mm,Hatchback,5,16.78 km/litre,,17.71 km/litre,,935 kg,5,174 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/60R15,185/60R15,Electric Power,All Windows,,Remote,80PS@5600rpm,104Nm@3100rpm,Digital,Alog,Alog,Yes,5,Fabric,Manual,2460 mm,185/60R15,,Yes,CD Player with USB & Aux-in,,,3 years /100000 Kms (years/distance whichever comes first),,Interl,251 litres,Yes,Yes,Yes,Digital,Front,,Front & Rear,Yes,,Yes,Interl,Digital,Manual,Alog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,,2,,Rake,,,,Yes,Yes,,,,,,,,Manual Adjustment,,,,,,,,,,,,,,,,,,,,,,,,41,16.51
211,Toyota,Etios Cross,1.4 X Edition,15.74,1364 cc,4,2,FWD,In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1555 mm,3895 mm,1735 mm,Hatchback,5,18.1 km/litre,22.5 km/litre,23.59 km/litre,,1015 kg,5,174 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/60R15,185/60R15,Electric Power,All Windows,,Remote,68PS@3800rpm,170Nm@1800-2400rpm,Digital,Alog,Alog,Yes,5,Fabric,Manual,2460 mm,185/60R15,,Yes,CD Player with USB & Aux-in,,,3 years /100000 Kms (years/distance whichever comes first),,Interl,251 litres,Yes,Yes,Yes,Digital,Front,,Front & Rear,Yes,,Yes,Interl,Digital,Manual,Alog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,,Rake,,,,Yes,Yes,,,,,,,,Manual Adjustment,,,,,,,,,,,,,,,,,,,,,,,,42,12.53
212,Mahindra,Verito Vibe,D2,3.6,1461 cc,4,2,FWD,In-line,BS IV,"Front, Transverse",Injection,50 litres,Diesel,1540 mm,3991 mm,1740 mm,Hatchback,5,18 km/litre,20.08 km/litre,20.08 km/litre,,1155 kg,5,172 mm,Solid Disc,Drum,Macpherson-type with wishbone link,H-Section torsion beam with programmed deflection-coil spring - See more at: http://mahindraverito.com/verito-specs.aspx#sthash.hu39n454.dpuf,,,185/70R14,185/70R14,Yes,,,,65PS@4000rpm,160Nm@2000rpm,Digital,Alog,Alog,,5,Fabric,Manual,2630 mm,185/70R14,,,Not on offer,,,"2 Years / 50,000 Kms (Whichever comes earlier)",,Manual,330 litres,,,Yes,Digital,Not on offer,,Front,Yes,3rd Year / up to 75000km from the date of delivery (whichever comes first),,Interl,Digital,Manual,Alog + Digital,Yes,5.25 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,All Rows,1655 kg,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,22,16.05
213,Mahindra,Verito Vibe,D4,15.03,1461 cc,4,2,FWD,In-line,BS IV,"Front, Transverse",Injection,50 litres,Diesel,1540 mm,3991 mm,1740 mm,Hatchback,5,18 km/litre,20.08 km/litre,20.08 km/litre,,1155 kg,5,172 mm,Solid Disc,Drum,Macpherson-type with wishbone link,H-Section torsion beam with programmed deflection-coil spring,,,185/70R14,185/70R14,Yes,All Windows,,,65PS@4000rpm,160Nm@2000rpm,Digital,Alog,Alog,Yes,5,Fabric,Manual,2630 mm,185/70R14,,,Not on offer,,Yes,"2 Years / 50,000 Kms (Whichever comes earlier)",,Manual,330 litres,,Yes,Yes,Digital,Not on offer,Yes,Front,Yes,3rd Year / up to 75000km from the date of delivery (whichever comes first),,Interl,Digital,Manual,Alog + Digital,Yes,5.25 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,All Rows,1655 kg,,Yes,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,82,0.53
214,Mahindra,Verito Vibe,D6,5.92,1461 cc,4,2,FWD,In-line,BS IV,"Front, Transverse",Injection,50 litres,Diesel,1540 mm,3991 mm,1740 mm,Hatchback,5,18 km/litre,20.08 km/litre,20.08 km/litre,,1155 kg,5,172 mm,Solid Disc,Drum,Macpherson-type with wishbone link,H-Section torsion beam with programmed deflection-coil spring,,,185/70R14,185/70R14,Yes,All Windows,,,65PS@4000rpm,160Nm@2000rpm,Digital,Alog,Alog,Yes,5,Fabric,Manual,2630 mm,185/70R14,,,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 50,000 Kms (Whichever comes earlier)",,Manual,330 litres,Yes,Yes,Yes,Digital,Not on offer,Yes,Front,Yes,3rd Year / up to 75000km from the date of delivery (whichever comes first),Yes,Interl,Digital,Manual,Alog + Digital,Yes,5.25 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,Yes,Yes,All Rows,1655 kg,Driver frontal airbag,Yes,Yes,Yes,,1,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,26,9.14
215,Fiat,Urban Cross,1.3 Multijet Active,13.68,1248 cc,4,4,FWD,In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1542 mm,3989 mm,1706 mm,Crossover,5,20 km/litre,,20 km/litre,,1210 kg,,205 mm,Ventilated Disc,Drum,"Independent Wheels suspension with Mcpherson struts, Helical coil springs, Double acting Telescopic Dampers and Stabilizer bar","Torsion beam, Helical Springs and Double acting Telescopic dampers",,,205/55 R16,205/55 R16,Hydraulic Power,Only Front Windows,,,93PS@4000RPM,209Nm@2000rpm,Digital,Alog,Digital,Yes,5,Fabric,Manual,2510 mm,R16,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Interl,,Yes,Yes,Yes,Digital,Not on offer,Yes,Front & Rear,Yes,,Yes,Interl,Alog,Automatic,Alog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,,Yes,Yes,Yes,,,,Rake,,,,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,,Yes,,,,,,,,,Yes,,,,,Yes,,,,,,,,,64,12.99
216,Fiat,Urban Cross,1.3 Multijet Dymic,18.64,1248 cc,4,4,FWD,In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1542 mm,3989 mm,1706 mm,Crossover,5,20 km/litre,,20 km/litre,,1215 kg,,,Ventilated Disc,Drum,"Independent Wheels suspension with Mcpherson struts, Helical coil springs, Double acting Telescopic Dampers and Stabilizer bar","Torsion beam, Helical Springs and Double acting Telescopic dampers",,,205/55 R16,205/55 R16,Hydraulic Power,All Windows,,Remote,93PS@4000RPM,209Nm@2000rpm,Digital,Alog,Digital,Yes,5,Fabric,Manual,2510 mm,R16,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Interl,,Yes,Yes,Yes,Digital,Not on offer,Yes,Front & Rear,Yes,,Yes,Interl,Alog,Manual,Alog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,205 kg,,Yes,Yes,Yes,,,,Rake,,,,,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,,,,,,,,,Yes,,,,,Yes,,,,,,,,,28,16.18
217,Fiat,Urban Cross,1.4 T-Jet Emotion,10.22,1368 cc,4,4,FWD,In-line,BS IV,"Front, Transverse",Injection,45 litres,Petrol,1542 mm,3989 mm,1706 mm,Crossover,5,17 km/litre,,17.1 km/litre,,1215 kg,,205 mm,Ventilated Disc,Drum,"Independent Wheels suspension with Mcpherson struts, Helical coil springs, Double acting Telescopic Dampers and Stabilizer bar","Torsion beam, Helical Springs and Double acting Telescopic dampers",,,205/55 R16,205/55 R16,Hydraulic Power,All Windows,,Remote,140ps@5500rpm,210Nm@2000-4000RPM,Digital,Alog,Digital,Yes,5,Leather,Manual,2510 mm,R16,,Yes,CD/MP3/DVD Player with USB & Aux-in,,Yes,,Yes,With Remote,,Yes,Yes,Yes,Digital,Not on offer,Yes,Front & Rear,Yes,,Yes,Interl,Alog,Automatic,Alog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,"Manual Air conditioning with cooling and heating, Fully automatic climate control",,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,,Rake,,,,,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,Yes,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,64,17.99
218,Fiat,Urban Cross,1.3 Multijet Emotion,5.59,1248 cc,4,4,FWD,In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1542 mm,3989 mm,1706 mm,Crossover,5,20 km/litre,,20 km/litre,,1215 kg,,205 mm,Ventilated Disc,Drum,"Independent Wheels suspension with Mcpherson struts, Helical coil springs, Double acting Telescopic Dampers and Stabilizer bar","Torsion beam, Helical Springs and Double acting Telescopic dampers",,,205/55 R16,205/55 R16,Hydraulic Power,All Windows,,Remote,93PS@4000RPM,209Nm@2000rpm,Digital,Alog,Digital,Yes,5,Leather,Manual,2510 mm,R16,,Yes,CD/MP3/DVD Player with USB & Aux-in,,Yes,,Yes,With Remote,,Yes,Yes,Yes,Digital,Not on offer,Yes,Front & Rear,Yes,,Yes,Interl,Alog,Automatic,Alog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,"Manual Air conditioning with cooling and heating, Fully automatic climate control",Yes,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,,Rake,,,,,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,Yes,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,3,16.99
219,Toyota,Glanza,G Hybrid,11.24,1197 cc,4,,FWD,In-line,BS 6,"Front, Longitudil",Injection,37 litres,Petrol,1540 mm,3995 mm,1745 mm,Hatchback,5,,,23.87 km/litre,,910 kg,5,,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,,,195 / 55 R16,195 / 55 R16,Electric Power,All Windows,Yes,Smart Key,89PS@6000 rpm,113Nm@4400 rpm,Digital,"Alog, Digital",Alog,2,5,Fabric,Manual,2520 mm,195 / 55 R16,Yes,1,CD Player with USB & Aux-in,Yes,Yes,,Yes,Manual,339 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,,Yes,Interl,Digital,Manual,Alog + Digital,Yes,4.9 meter,Yes,Driver & Front Passenger,,2 Zone Climate Control,Yes,,Yes,,Yes,,Normal,Yes,Yes,,,Yes,Yes,,Yes,Yes,All Rows,1360 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,Yes,,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,,,,Yes,,,,,,,Yes,,,,,,,,,Yes,Yes,,,14,8.77
220,Toyota,Glanza,V,3.6,1197 cc,4,,FWD,In-line,BS 6,"Front, Longitudil",Injection,37 litres,Petrol,1540 mm,3995 mm,1745 mm,Hatchback,5,,,21.01 km/litre,,890 kg,5,,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,,,195 / 55 R16,195 / 55 R16,Electric Power,All Windows,,Smart Key,82PS@6000 rpm,113Nm@4200 rpm,Digital,"Alog, Digital",Alog,2,5,Fabric,Manual,2520 mm,195 / 55 R16,Yes,1,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Manual,339 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,,Yes,Interl,Digital,Manual,Alog + Digital,Yes,4.9 meter,Yes,Driver & Front Passenger,,2 Zone Climate Control,Yes,,Yes,,Yes,Yes,Normal,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,All Rows,1340 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,Yes,Yes,,,89,17.58
221,Toyota,Glanza,G Cvt,14.28,1197 cc,4,,FWD,In-line,BS 6,"Front, Longitudil",Injection,37 litres,Petrol,1540 mm,3995 mm,1745 mm,Hatchback,5,,,19.56 km/litre,,935 kg,5,,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,,,195 / 55 R16,195 / 55 R16,Electric Power,All Windows,,Smart Key,82PS@6000 rpm,113Nm@4200 rpm,Digital,Digital,Alog,2,5,Fabric,CVT,2520 mm,195 / 55 R16,Yes,1,CD Player with USB & Aux-in,Yes,Yes,,Yes,Manual,339 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,,Yes,Interl,Digital,Manual,Alog + Digital,Yes,4.9 meter,Yes,Driver & Front Passenger,,2 Zone Climate Control,Yes,,Yes,,Yes,,Normal,Yes,Yes,,,Yes,Yes,,Yes,Yes,All Rows,1360 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,Yes,,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,,,,,,,,,,,Yes,,,,Yes,,,,,,Yes,,,84,17.82
222,Toyota,Glanza,V Cvt,8.58,1197 cc,4,,FWD,In-line,BS 6,"Front, Longitudil",Injection,37 litres,Petrol,1540 mm,3995 mm,1745 mm,Hatchback,5,,,19.56 km/litre,,935 kg,5,,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,,,195 / 55 R16,195 / 55 R16,"Electric Power, Hydraulic Power",All Windows,,Smart Key,82PS@6000 rpm,113Nm@4200 rpm,"Digital, Alog","Alog, Digital",Alog,2,5,Fabric,CVT,2520 mm,195 / 55 R16,Yes,1,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Manual,339 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,,Yes,Interl,"Digital, Alog",Manual,Alog + Digital,Yes,4.9 meter,Yes,Driver & Front Passenger,,2 Zone Climate Control,Yes,,Yes,,Yes,Yes,Normal,Yes,,,,Yes,Yes,Yes,Yes,Yes,All Rows,1360 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,Yes,Yes,,,68,8.03
223,Toyota,Glanza,G Mt,19.48,1197 cc,4,,FWD,In-line,BS 6,"Front, Longitudil",Injection,37 litres,Petrol,1540 mm,3995 mm,1745 mm,Hatchback,5,,,19.56 km/litre,,935 kg,5,,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,,,195 / 55 R16,195 / 55 R16,Electric Power,All Windows,,Smart Key,82PS@6000 rpm,113Nm@4200 rpm,Digital,Digital,Alog,2,5,Fabric,Manual,2520 mm,195 / 55 R16,Yes,1,CD Player with USB & Aux-in,Yes,Yes,,Yes,Manual,339 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,,Yes,Interl,Digital,Manual,Alog + Digital,Yes,4.9 meter,Yes,Driver & Front Passenger,,2 Zone Climate Control,Yes,,Yes,,Yes,,Normal,Yes,Yes,,,Yes,Yes,,Yes,Yes,All Rows,1360 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,Yes,,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,,,,,,,,,,,Yes,,,,Yes,,,,,,Yes,,,45,18.18
224,Fiat,Avventura,Multijet Dymic,19.69,1248 cc,4,4,FWD,In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1542 mm,3989 mm,1706 mm,Crossover,5,11.2 km/litre,20.5 km/litre,20.5 km/litre,,1245 kg,5,205 mm,Ventilated Disc,Drum,"Independent Wheels suspension with Mcpherson struts, Helical springs, Double acting Telescopic Dampers with Stabilizer bar","Torsion beam, Helical Springs and Double acting Telescopic dampers",,,205/55R16,205/55R16,Hydraulic Power,All Windows,,,93PS@4000RPM,209Nm@2000rpm,Digital,Alog,Alog,Yes,5,Fabric,Manual,2510 mm,205/55R16,,Yes,CD Player with USB & Aux-in,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",,Interl,280 litres,Yes,Yes,Yes,,Not on offer,Yes,,,2 Years /150000 Kms (Whichever comes earlier),Yes,Manual,Alog,Manual,Alog + Digital,,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,Yes,,,,,Yes,Yes,,,,,Rake,,,,,Yes,,,,,,Yes,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,24,18.52
225,Fiat,Avventura,Multijet Active,13.43,1248 cc,4,4,FWD,In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1542 mm,3989 mm,1706 mm,Crossover,5,11.2 km/litre,,20.5 km/litre,,1240 kg,5,205 mm,Ventilated Disc,Drum,"Independent Wheels suspension with Mcpherson struts, Helical springs, Double acting Telescopic Dampers with Stabilizer bar","Torsion beam, Helical Springs and Double acting Telescopic dampers",,,205/55R16,205/55R16,Hydraulic Power,Only Front Windows,,,93PS@4000RPM,209Nm@2000rpm,Digital,Alog,Alog,Yes,5,Fabric,Manual,2510 mm,205/55R16,,Yes,Not on offer,,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",,Interl,280 litres,,Yes,Yes,,Not on offer,Yes,,Yes,2 Years /150000 Kms (Whichever comes earlier),,Manual,Alog,Manual,Alog + Digital,,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,,Yes,,,Yes,,,,,,Rake,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,98,18.82
226,Fiat,Avventura,Multijet Emotion,16.68,1248 cc,4,4,FWD,In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1542 mm,3989 mm,1706 mm,Crossover,5,11.2 km/litre,20.5 km/litre,20.5 km/litre,,1255 kg,5,205 mm,Ventilated Disc,Drum,"Independent Wheels suspension with Mcpherson struts, Helical springs, Double acting Telescopic Dampers with Stabilizer bar","Torsion beam, Helical Springs and Double acting Telescopic dampers",,,205/55R16,205/55R16,Hydraulic Power,All Windows,Power seats,,93PS@4000RPM,209Nm@2000rpm,Digital,Alog,Alog,Yes,5,Fabric,Manual,2510 mm,205/55R16,,,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,Interl,280 litres,Yes,Yes,Yes,Digital,Not on offer,,Yes,Yes,2 Years /150000 Kms (Whichever comes earlier),Yes,Interl,Digital,Manual,Alog + Digital,Yes,,,,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,,,,Yes,,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,,Rake,,,,,Yes,,,,,Multifunction Steering Wheel,Yes,,Manual Adjustment,,Yes,,Yes,Yes,,,,,Yes,,,,,Yes,,,,,,,,,78,15
227,Honda,Jazz,V Petrol,5.91,1199 cc,4,4,FWD,In-line,BS IV,"Front, Transverse",Injection,40 litres,Petrol,1544 mm,3955 mm,1694 mm,Hatchback,5,11.3 km/litre,,18.2 km/litre,,1042 kg,5,165 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring","Torsion Beam Axle, Coil Spring",1490 mm,1475 mm,175/65R15,175/65R15,Electric Power,All Windows,,Yes,90PS@6000rpm,110Nm@4800rpm,Digital,Alog,Alog,2,5,Fabric,Manual,2530 mm,175/65R15,,Yes,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 40,000 Kms (Whichever comes earlier)",Yes,Interl,354 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,1 years /20000 Kms (years/distance whichever comes first),Yes,Interl,Digital,Manual,Alog + Digital,Yes,5.1 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,,,,Yes,,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,,Rake,,,Rear sensors with camera,Yes,Yes,,,,Yes,Yes,Yes,,Manual Adjustment,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,87,18.92
228,Honda,Jazz,Vx Cvt,9.31,1199 cc,4,4,FWD,In-line,BS IV,"Front, Transverse",Injection,40 litres,Petrol,1544 mm,3955 mm,1694 mm,Hatchback,5,11.3 km/litre,,19 km/litre,,1066 kg,5,165 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring","Torsion Beam Axle, Coil Spring",1490 mm,1475 mm,175/65R15,175/65R15,Electric Power,All Windows,,"Remote, Smart Key",90PS@6000rpm,110Nm@4800rpm,Digital,Alog,Alog,Yes,5,Fabric,Automatic,2530 mm,175/65R15,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 40,000 Kms (Whichever comes earlier)",Yes,Interl,354 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,1 years /20000 Kms (years/distance whichever comes first),Yes,Interl,Digital,Manual,Alog + Digital,Yes,5.1 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,Yes,,,,,Yes,,,,,,,Yes,,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors with camera,Yes,Yes,,,,Yes,Yes,Yes,,Manual Adjustment,,,,,Yes,,,,,,,,Yes,Yes,,,,Yes,,,,,,61,13.47
229,Honda,Jazz,Vx Petrol,10.97,1199 cc,4,4,FWD,In-line,BS IV,"Front, Transverse",Injection,40 litres,Petrol,1544 mm,3955 mm,1694 mm,Hatchback,5,11.3 km/litre,,18.2 km/litre,,1044 kg,5,165 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring","Torsion Beam Axle, Coil Spring",1490 mm,1475 mm,175/65R15,175/65R15,Electric Power,All Windows,,Yes,90PS@6000rpm,110Nm@4800rpm,Digital,Alog,Alog,2,5,Fabric,Manual,2530 mm,175/65R15,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,"2 Years / 40,000 Kms (Whichever comes earlier)",Yes,Interl,354 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,1 years /20000 Kms (years/distance whichever comes first),Yes,Interl,Digital,Manual,Alog + Digital,Yes,5.1 meter,Yes,Driver & Front Passenger,,Fully automatic climate control,,,,,,,,Yes,,,,Yes,,,Yes,,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,,Rake,,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Yes,Yes,,Manual Adjustment,Yes,,,,Yes,,,,,,,,,Yes,,,,,,,,,,62,15.34
230,Honda,Jazz,V Cvt,13.02,1199 cc,4,4,FWD,In-line,BS IV,"Front, Transverse",Injection,40 litres,Petrol,1544 mm,3955 mm,1694 mm,Hatchback,5,11.3 km/litre,,19 km/litre,,1064 kg,5,165 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring","Torsion Beam Axle, Coil Spring",1490 mm,1475 mm,175/65R15,175/65R15,Electric Power,All Windows,,"Remote, Smart Key",90PS@6000rpm,110Nm@4800rpm,Digital,Alog,Alog,Yes,5,Fabric,Automatic,2530 mm,175/65R15,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 40,000 Kms (Whichever comes earlier)",Yes,Interl,354 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,1 years /20000 Kms (years/distance whichever comes first),Yes,Interl,Digital,Manual,Alog + Digital,Yes,5.1 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,Yes,,,,,Yes,,,,,,,Yes,,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors with camera,Yes,Yes,,,,Yes,Yes,Yes,,Manual Adjustment,,,,,Yes,,,,,,,,Yes,Yes,,,,Yes,,,,,,92,4.45
